date,score
2013-10-07,3
2013-10-08,5
2013-10-08,4
2013-10-09,5
2013-10-09,5
2013-10-10,5
2013-10-11,3
2013-10-13,4
2013-10-14,4
2013-10-15,4
2013-10-15,5
2013-10-16,3
2013-10-17,5
2013-10-18,4
2013-10-20,5
2013-10-21,3
2013-10-22,5
2013-10-23,5
2013-10-25,2
2013-10-27,4
2013-10-29,4
2013-10-30,5
2013-11-01,4
2013-11-01,5
2013-11-03,5
2013-11-06,3
2013-11-07,4
2013-11-09,5
2013-11-10,3
2013-11-12,5
2013-11-13,3
2013-11-13,4
2013-11-13,5
2013-11-15,4
2013-11-19,3
2013-11-19,5
2013-11-20,4
2013-11-20,5
2013-11-20,4
2013-11-22,5
2013-11-23,1
2013-11-25,4
2013-11-25,2
2013-11-28,4
2013-11-29,3
2013-12-03,4
2013-12-10,4
2013-12-11,5
2013-12-19,5
2013-12-21,5
2013-12-23,5
2013-12-23,5
2013-12-24,5
2013-12-25,5
2013-12-26,5
2013-12-27,4
2013-12-28,2
2013-12-29,2
2013-12-31,3
2013-12-31,4
2014-01-01,3
2014-01-04,2
2014-01-06,3
2014-01-07,3
2014-01-11,4
2014-01-12,2
2014-01-15,4
2014-01-20,5
2014-01-22,4
2014-01-24,4
2014-01-24,1
2014-01-24,1
2014-01-25,2
2014-01-26,2
2014-01-31,5
2014-01-31,5
2014-01-31,4
2014-02-01,5
2014-02-01,5
2014-02-02,5
2014-02-05,3
2014-02-06,1
2014-02-06,4
2014-02-11,3
2014-02-11,5
2014-02-13,3
2014-02-14,2
2014-02-16,4
2014-02-16,1
2014-02-17,4
2014-02-19,2
2014-02-21,4
2014-02-23,5
2014-02-23,2
2014-02-26,4
2014-02-26,2
2014-03-08,3
2014-03-10,5
2014-03-10,2
2014-03-12,5
2014-03-14,4
2014-03-15,1
2014-03-15,1
2014-03-16,3
2014-03-16,3
2014-03-18,1
2014-03-18,5
2014-03-20,2
2014-03-23,4
2014-03-23,1
2014-03-25,4
2014-03-26,5
2014-03-27,5
2014-03-31,2
2014-04-01,5
2014-04-04,4
2014-04-05,3
2014-04-07,5
2014-04-09,4
2014-04-12,1
2014-04-12,5
2014-04-13,4
2014-04-15,3
2014-04-15,4
2014-04-20,2
2014-04-20,3
2014-04-21,4
2014-04-21,5
2014-04-22,5
2014-04-22,5
2014-04-23,4
2014-04-24,1
2014-04-26,5
2014-04-27,2
2014-04-29,4
2014-04-29,5
2014-04-29,5
2014-05-01,4
2014-05-01,4
2014-05-02,1
2014-05-03,1
2014-05-05,3
2014-05-05,5
2014-05-09,4
2014-05-12,5
2014-05-12,4
2014-05-13,5
2014-05-13,5
2014-05-13,5
2014-05-14,5
2014-05-15,5
2014-05-15,1
2014-05-19,4
2014-05-25,5
2014-05-28,3
2014-05-30,5
2014-05-31,4
2014-06-02,4
2014-06-03,5
2014-06-05,5
2014-06-09,2
2014-06-11,5
2014-06-13,4
2014-06-15,5
2014-06-16,5
2014-06-17,3
2014-06-17,2
2014-06-18,5
2014-06-19,1
2014-06-20,5
2014-06-23,4
2014-06-24,5
2014-06-28,5
2014-06-30,3
2014-06-30,5
2014-07-02,5
2014-07-03,4
2014-07-05,4
2014-07-05,5
2014-07-07,4
2014-07-07,4
2014-07-08,2
2014-07-08,5
2014-07-09,5
2014-07-10,5
2014-07-12,2
2014-07-12,3
2014-07-13,4
2014-07-13,5
2014-07-14,4
2014-07-14,5
2014-07-14,5
2014-07-15,5
2014-07-15,5
2014-07-16,2
